,name,bday,name_sp,num_of_child,education,role,birthplace,bday_sp,birthplace_sp,role_sp,name_sp_sp,num_of_child_sp
0,Beverly Aadland,1942-09-16,Maurice Jose de Leon ( m.   1961 ;  div.   1964 ) Joseph E. McDonald ( m.   1967 ;  div.   1969 ) Ronald Fisher  ( m.  1969),1,,Actress,"Hollywood, California , U.S.",,,,,
1,Caroline Aaron,1952-08-07,James Foreman ( m.  1981),2,,"Actress, film producer","Richmond, Virginia , U.S.",,,,,
2,Diahnne Abbott,1945-05-01,Robert De Niro ( m.  1976;  div.  1988),"2, including  Drena De Niro",,"Actress, singer","New York City ,  NY ,  US",1943-08-17,"Manhattan, New York City , U.S.","Actor, producer, director",Diahnne Abbott ( m.  1976;  div.  1988) Grace Hightower ( m.  1997; separated 2018),"6, including  Drena  and  Raphael"
3,Rose Abdoo,1962-11-28,,,,"Actress, comedian","Chicago ,  Illinois , U.S.",,,,,
4,Donzaleigh Abernathy,1957-08-05,,,,"Actress, author, civil rights activist","Montgomery, Alabama , U.S.",,,,,
5,Whitney Able,1982-06-02,Scoot McNairy  ( m.  2010),2,,"Actress, model","Houston ,  Texas , U.S.",1977-11-11,"Dallas ,  Texas , U.S.","Actor, producer",Whitney Able  ( m.  2010),2
6,Candice King,1987-05-13,Joe King  ( m.   2014 ),1,Lake Highland Preparatory School,Actress singer songwriter,"Houston ,  Texas , U.S.",,,,,
7,Amy Acker,1976-12-05,James Carpinello  ( m.  2003),2,,Actress,"Dallas ,  Texas , U.S.",1975-08-13,"Albany, New York , U.S.",,Amy Acker  ( m.  2003),2
8,Jean Acker,1893-10-23,Rudolph Valentino ( m.  1919;  div.  1923),,,Actress,"Trenton, New Jersey , U.S.",1895-05-06,"Castellaneta ,  Apulia ,  Kingdom of Italy",Actor,Jean Acker ( m.  1919;  div.  1923) Natacha Rambova ( m.  1923;  div.  1925),
9,Bettye Ackerman,,"November 1, 2006 (2006-11-01)  (aged 82) Columbia, South Carolina , U.S.",,,"Actress, artist","Cottageville, South Carolina , U.S.",1891-03-10,"New York City , U.S.","Actor, teacher, engineer",Lillian Taiz ( m.  1926; died 1941) Bettye Ackerman ( m.  1956; His Death 1984),
10,Amy Adams,1974-08-20,Darren Le Gallo ( m.  2015),1,,Actress,"Vicenza , Italy",,,,,
11,Brooke Adams,1949-02-08,Tony Shalhoub  ( m.  1992),2,,Actress,"New York City , U.S.",1953-10-09,"Green Bay, Wisconsin , U.S.",Actor,Brooke Adams  ( m.  1992),2
12,Edie Adams,1927-04-16,Ernie Kovacs ( m.  1954; died 1962) Martin Mills ( m.  1964;  div.  1971) Pete Candoli ( m.  1972;  div.  1988),2,,"Businesswoman, singer, actress, comedienne","Kingston, Pennsylvania , U.S.",,,,,
13,Jane Adams,1965-04-01,,,"University of Washington, SeattleCornish College of the ArtsJuilliard School (BFA)",Actress,"Washington, D.C. , U.S.",,,,,
14,Joey Lauren Adams,1968-01-09,"Beverly Hills ,  California , U.S.",,,"Actress, director","North Little Rock, Arkansas , U.S.",,,,,
15,Julie Adams,1926-10-17,Leonard Stern ( m.  1951;  div.  1953) Ray Danton ( m.  1954;  div.  1981),2,,Actress,"Waterloo, Iowa , U.S.",,"New York City , U.S.","Publisher, director, writer, producer",Julie Adams ( m.  1951;  div.  1953) Gloria Stroock  ( m.  1956),2
16,Lillian Adams,1922-05-13,,,,Actress,"New York City , U.S.",,,,,
17,Shohreh Aghdashloo,1952-05-11,Aydin Aghdashloo ( m.  1972;  div.  1979) Houshang Touzie  ( m.  1987),1,,Actress,"Tehran ,  Iran",1940-10-30,"Rasht , Iran",Painter art historian art critic,"
 Shohreh Aghdashloo ( m.  1972;  div.  1979) 
 Firouzeh Athari  ( m.  1981) 
",2
18,Dianna Agron,1986-04-30,Winston Marshall  ( m.  2016),,,"
 Actress 
 singer 
 dancer 
","Savannah, Georgia , U.S.",,,,,
