,name,bday,name_sp,num_of_child,education,role,birthplace,bday_sp,birthplace_sp,role_sp,name_sp_sp,num_of_child_sp,age_diff,age,age_spouse,name_sp_cl,year_m,year_div,name_sp_sp_cl,year_m_sp,year_div_sp,num_of_child_cl,num_of_child_sp_cl,name_sp_cl,num_of_m,name_sp_sp_cl,num_of_m_sp,num_of_role,num_of_role_sp,geohash,geohash_sp,zodiac,zodiac_sp,geo_distance ,sex,divorce
0,Beverly Aadland,1942-09-16,Maurice Jose de Leon ( m.   1961 ;  div.   1964 ) Joseph E. McDonald ( m.   1967 ;  div.   1969 ) Ronald Fisher  ( m.  1969),1,,Actress,"Hollywood, California , U.S.",,,,,,,76.63675503261531,,"['Maurice Jose de Leon', 'Joseph E McDonald', 'Ronald Fisher']","[1961, 1967, 1969]","[1964, 1969]",,,,1.0,,"['Maurice Jose de Leon', 'Joseph E McDonald', 'Ronald Fisher']",3.0,,,1.0,,9q5cgq7,,8.0,,,F,1.0
1,Caroline Aaron,1952-08-07,James Foreman ( m.  1981),2,,"Actress, film producer","Richmond, Virginia , U.S.",,,,,,,66.74469701636583,,['James Foreman'],[1981],,,,,2.0,,['James Foreman'],1.0,,,3.0,,dq8vtfh,,7.0,,,F,0.0
2,Diahnne Abbott,1945-05-01,Robert De Niro ( m.  1976;  div.  1988),"2, including  Drena De Niro",,"Actress, singer","New York City ,  NY ,  US",1943-08-17,"Manhattan, New York City , U.S.","Actor, producer, director",Diahnne Abbott ( m.  1976;  div.  1988) Grace Hightower ( m.  1997; separated 2018),"6, including  Drena  and  Raphael",1.7057160653538403,74.01384011992033,75.71955618527417,['Robert De Niro'],[1976],[1988],"['Diahnne Abbott', 'Grace Hightower']","[1976, 1997]","[1988, 2018]",2.0,6.0,['Robert De Niro'],1.0,"['Diahnne Abbott', 'Grace Hightower']",2.0,2.0,3.0,dr5regw,dr72h8r,4.0,7.0,625441.0,F,1.0
3,Rose Abdoo,1962-11-28,,,,"Actress, comedian","Chicago ,  Illinois , U.S.",,,,,,,56.436477135054105,,,,,,,,,,,,,,2.0,,dp3wjzt,,11.0,,,F,
4,Donzaleigh Abernathy,1957-08-05,,,,"Actress, author, civil rights activist","Montgomery, Alabama , U.S.",,,,,,,61.750754635618804,,,,,,,,,,,,,,5.0,,djf8hn2,,7.0,,,F,
5,Whitney Able,1982-06-02,Scoot McNairy  ( m.  2010),2,,"Actress, model","Houston ,  Texas , U.S.",1977-11-11,"Dallas ,  Texas , U.S.","Actor, producer",Whitney Able  ( m.  2010),2,4.555877259628876,36.926151803254,41.48202906288288,['Scoot McNairy'],[2010],,['Whitney Able'],[2010],,2.0,2.0,['Scoot McNairy'],1.0,['Whitney Able'],1.0,2.0,2.0,9vk1mc9,9vg4mqf,5.0,10.0,625441.0,F,0.0
6,Candice King,1987-05-13,Joe King  ( m.   2014 ),1,Lake Highland Preparatory School,Actress singer songwriter,"Houston ,  Texas , U.S.",,,,,,,31.98149174863276,,['Joe King'],[2014],,,,,1.0,,['Joe King'],1.0,,,3.0,,9vk1mc9,,4.0,,,F,0.0
7,Amy Acker,1976-12-05,James Carpinello  ( m.  2003),2,,Actress,"Dallas ,  Texas , U.S.",1975-08-13,"Albany, New York , U.S.",,Amy Acker  ( m.  2003),2,1.3141953633544836,42.41565535226596,43.729850715620444,['James Carpinello'],[2003],,['Amy Acker'],[2003],,2.0,2.0,['James Carpinello'],1.0,['Amy Acker'],1.0,1.0,,9vg4mqf,dred9ss,11.0,7.0,20000000.0,F,0.0
8,Jean Acker,1893-10-23,Rudolph Valentino ( m.  1919;  div.  1923),,,Actress,"Trenton, New Jersey , U.S.",1895-05-06,"Castellaneta ,  Apulia ,  Kingdom of Italy",Actor,Jean Acker ( m.  1919;  div.  1923) Natacha Rambova ( m.  1923;  div.  1925),,-1.5332279239135642,125.53303627042307,123.99980834650951,['Rudolph Valentino'],[1919],[1923],"['Jean Acker', 'Natacha Rambova']","[1919, 1923]","[1923, 1925]",,,['Rudolph Valentino'],1.0,"['Jean Acker', 'Natacha Rambova']",2.0,1.0,1.0,dr4ufcc,srhp1kp,10.0,4.0,20000000.0,F,1.0
9,Bettye Ackerman,,"November 1, 2006 (2006-11-01)  (aged 82) Columbia, South Carolina , U.S.",,,"Actress, artist","Cottageville, South Carolina , U.S.",1891-03-10,"New York City , U.S.","Actor, teacher, engineer",Lillian Taiz ( m.  1926; died 1941) Bettye Ackerman ( m.  1956; His Death 1984),,,,128.15595118311808,,,,"['Lillian Taiz', 'Bettye Ackerman']","[1926, 1956]",,,,,,"['Lillian Taiz', 'Bettye Ackerman']",2.0,2.0,3.0,djyg2eg,dr5regw,,2.0,5003530.0,F,
