,name,bday,name_sp,num_of_child,education,role,birthplace,bday_sp,birthplace_sp,role_sp,name_sp_sp,num_of_child_sp,age_diff,age,age_spouse,name_sp_cl,year_m,year_div,name_sp_sp_cl,year_m_sp,year_div_sp,num_of_child_cl,num_of_child_sp_cl,name_sp_cl.1,num_of_m,name_sp_sp_cl.1,num_of_m_sp,num_of_role,num_of_role_sp,geohash,geohash_sp,geo_distance,zodiac,zodiac_sp,sex,divorce,year_m_1,year_div_1,year_m_sp_1,year_div_sp_1,age_m_1,age_div_1,age_m_sp_1,age_div_sp_1
2,Willie Aames,1960-07-15,Vicki Weatherman ( m.  1979–1984) Maylo McCaslin ( m.  1986–2009) Winnie Hung ( m.  2014),2,,"Actor, director, television producer, screenwriter","Newport Beach, California, U.S.",,,,,,,58.81024251011314,,"['Vicki Weatherman', 'Maylo McCaslin', 'Winnie Hung']","[1979, 1986, 2014]",,,,,2.0,,"['Vicki Weatherman', 'Maylo McCaslin', 'Winnie Hung']",3.0,,,5.0,,9mupk2n,,,6.0,,M,1.0,1979.0,,,,19.0,,,
5,Bruce Abbott,1954-07-28,Linda Hamilton ( m.  1982;  div.  1989) Kathleen Quinlan  ( m.  1994),2,,Actor,"Portland, Oregon, U.S.",1956-09-26,"Salisbury, Maryland, U.S.",Actress,"
 Bruce Abbott ( m.  1982;  div.  1989) 
 James Cameron ( m.  1997;  div.  1999) 
",2,-2.1656844425279096,64.77614187834111,62.61045743581321,"['Linda Hamilton', 'Kathleen Quinlan']","[1982, 1994]",[1989],"['Bruce Abbott', 'James Cameron']","[1982, 1997]","[1989, 1999]",2.0,2.0,"['Linda Hamilton', 'Kathleen Quinlan']",2.0,"['Bruce Abbott', 'James Cameron']",2.0,1.0,1.0,c20fbmg,dqf4pxq,20000000.0,7.0,9.0,M,1.0,1982.0,1989.0,1982.0,1982.0,28.0,35.0,26.0,26.0
6,Bud Abbott,,Betty Smith ( m.  1918),2,,"Actor, comedian, producer","Asbury Park, New Jersey, U.S.",,,,,,,,,['Betty Smith'],[1918],,,,,2.0,,['Betty Smith'],1.0,,,3.0,,dr5kgcf,,,,,M,0.0,1918.0,,,,,,,
8,Philip Abbott,,Jane Dufrayne ( m.  1950–1998),,,Actor,"Lincoln, Nebraska, U.S.",,,,,,,,,['Jane Dufrayne'],[1950],,,,,,,['Jane Dufrayne'],1.0,,,1.0,,9z70pmz,,,,,M,1.0,1950.0,,,,,,,
10,Jake Abel,1987-11-18,Allie Wood ( m.  2013),,,"Model, actor, singer","Canton, Ohio, U.S.",,,,,,,31.466765231318927,,['Allie Wood'],[2013],,,,,,,['Allie Wood'],1.0,,,3.0,,dpq0h5n,,,10.0,,M,0.0,2013.0,,,,26.0,,,
13,F. Murray Abraham,1939-10-24,Kate Hannan  ( m.  1962),2,,Actor,"Pittsburgh, Pennsylvania, U.S.",,,,,,,79.53619855301616,,['Kate Hannan'],[1962],,,,,2.0,,['Kate Hannan'],1.0,,,1.0,,dppn59u,,,10.0,,M,0.0,1962.0,,,,23.0,,,
17,Kirk Acevedo,1971-11-27,Kiersten Warren  ( m.  2005),"2, including stepdaughter Misti Traya",,Actor,"Brooklyn, New York City, U.S.",,"Iowa, U.S.",Actress,Jonathan Lemkin ( m.  1990;  div.  2005) Kirk Acevedo  ( m.  2005),"2, including Misti Traya",,47.44245261709686,,['Kiersten Warren'],[2005],,"['Jonathan Lemkin', 'Kirk Acevedo']","[1990, 2005]",[2005],2.0,2.0,['Kiersten Warren'],1.0,"['Jonathan Lemkin', 'Kirk Acevedo']",2.0,1.0,1.0,dr5rmm5,9zmy1x8,20000000.0,11.0,,M,0.0,2005.0,,1990.0,1990.0,34.0,,,
18,Jensen Ackles,1978-03-01,Danneel Harris  ( m.  2010),3,,"Actor, director","Dallas, Texas, U.S.",1979-03-18,"Lafayette, Louisiana, U.S.",Actress,Jensen Ackles [1]  ( m.  2010),3,-1.04588047666961,41.18359719912113,40.13771672245152,['Danneel Harris'],[2010],,['Jensen Ackles 1'],[2010],,3.0,3.0,['Danneel Harris'],1.0,['Jensen Ackles 1'],1.0,2.0,1.0,9vg4mqf,9vqefn1,625441.0,2.0,2.0,M,0.0,2010.0,,2010.0,2010.0,32.0,,31.0,31.0
19,Rodolfo Acosta,1920-07-29,Jeanine Cohen  (m. 1945-19??) [1],2[1],,,"Chamizal, Texas, U.S.",,,,,,,98.77273318411741,,['Jeanine Cohen'],[1945],,,,,,,['Jeanine Cohen'],1.0,,,,,9tsk9x4,,,7.0,,M,0.0,1945.0,,,,25.0,,,
26,Don Adams,1923-04-13,Adelaide Efantis ( m.  1947;  div.  1960) Dorothy Bracken ( m.  1960;  div.  1976) Judy Luciano ( m.  1977;  div.  1990),7; including Cecily Adams,,"Actor, comedian, voice actor, director","New York City, U.S.",,,,,,,96.06768106121277,,"['Adelaide Efantis', 'Dorothy Bracken', 'Judy Luciano']","[1947, 1960, 1977]","[1960, 1976, 1990]",,,,7.0,,"['Adelaide Efantis', 'Dorothy Bracken', 'Judy Luciano']",3.0,,,5.0,,dr5regw,,,3.0,,M,1.0,1947.0,1960.0,,,24.0,37.0,,
