,name,bday,sex,age,age_diff,zodiac,zodiac_sp,num_of_m,num_of_m_sp,num_of_child_cl,num_of_child_sp_cl,num_of_role,num_of_role_sp,geohash,geo_distance,age_m_1,age_div_1,age_m_sp_1,age_div_sp_1,divorce
2,Willie Aames,1960-07-15,M,58.81024251011314,,6.0,,3.0,,2.0,,5.0,,9mupk2n,,19.0,,,,1.0
5,Bruce Abbott,1954-07-28,M,64.77614187834111,-2.1656844425279096,7.0,9.0,2.0,2.0,2.0,2.0,1.0,1.0,c20fbmg,20000000.0,28.0,35.0,26.0,26.0,1.0
6,Bud Abbott,,M,,,,,1.0,,2.0,,3.0,,dr5kgcf,,,,,,0.0
8,Philip Abbott,,M,,,,,1.0,,,,1.0,,9z70pmz,,,,,,1.0
10,Jake Abel,1987-11-18,M,31.466765231318927,,10.0,,1.0,,,,3.0,,dpq0h5n,,26.0,,,,0.0
13,F. Murray Abraham,1939-10-24,M,79.53619855301616,,10.0,,1.0,,2.0,,1.0,,dppn59u,,23.0,,,,0.0
17,Kirk Acevedo,1971-11-27,M,47.44245261709686,,11.0,,1.0,2.0,2.0,2.0,1.0,1.0,dr5rmm5,20000000.0,34.0,,,,0.0
18,Jensen Ackles,1978-03-01,M,41.18359719912113,-1.04588047666961,2.0,2.0,1.0,1.0,3.0,3.0,2.0,1.0,9vg4mqf,625441.0,32.0,,31.0,31.0,0.0
19,Rodolfo Acosta,1920-07-29,M,98.77273318411741,,7.0,,1.0,,,,,,9tsk9x4,,25.0,,,,0.0
26,Don Adams,1923-04-13,M,96.06768106121277,,3.0,,3.0,,7.0,,5.0,,dr5regw,,24.0,37.0,,,1.0
29,Mason Adams,1919-02-26,M,100.19370692074443,,2.0,,1.0,,2.0,,1.0,,dr5rmm5,,38.0,,,,0.0
30,Nick Adams,1931-07-10,M,87.82658097017735,-5.993278438297844,6.0,6.0,1.0,1.0,2.0,2.0,2.0,,dr3fqmn,20000000.0,28.0,34.0,22.0,22.0,1.0
31,R. J. Adams,1942-09-20,M,76.62854131159435,,8.0,,1.0,,,,5.0,,dpxts8y,,26.0,,,,0.0
32,Rob Adams,1970-02-27,M,49.18923728755554,,2.0,,1.0,,3.0,,3.0,,9yzgery,,26.0,,,,0.0
37,Anthony Mark Addabbo,1960-09-14,M,58.64323018268684,,8.0,,1.0,,,,2.0,,dhwfmx3,,39.0,,,,1.0
38,Wesley Addy,1913-08-04,M,105.75713395894509,-3.7345051575323254,7.0,4.0,1.0,,,2.0,1.0,2.0,9z7f8yw,20000000.0,53.0,,,,0.0
40,Paul Adelstein,1969-04-29,M,50.021561017680035,-8.101466833678995,4.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,dp3wjzt,5003530.0,37.0,48.0,29.0,29.0,1.0
47,Luther Adler,1903-05-04,M,116.01059570011705,-7.2636672895405106,4.0,7.0,2.0,,1.0,1.0,2.0,1.0,dr5regw,625441.0,35.0,43.0,,,1.0
48,Matt Adler,1966-12-08,M,52.411753834780995,,11.0,,2.0,,,,1.0,,9q5ctr1,,27.0,29.0,,,1.0
49,Max Adler,1986-01-17,M,33.30116292600122,,0.0,,1.0,,,,1.0,,dr5x8y2,,29.0,,,,0.0
52,Ben Affleck,1972-08-15,M,46.72512098126587,0.3285488408386209,7.0,3.0,1.0,2.0,3.0,3.0,1.0,3.0,9q9p3w7,5003530.0,33.0,46.0,28.0,28.0,1.0
53,Casey Affleck,1975-08-12,M,43.73532652963442,-3.3292949204980253,7.0,11.0,1.0,1.0,2.0,2.0,1.0,3.0,drmu3k8,5003530.0,31.0,42.0,28.0,28.0,1.0
54,John Agar,1921-01-31,M,98.26348248081754,,1.0,,2.0,,3.0,,1.0,,dp3wjzt,,24.0,29.0,,,1.0
61,Charles Aidman,1925-01-21,M,94.2907794136772,,1.0,,2.0,,,,1.0,,dp4mpks,,32.0,42.0,,,1.0
70,Claude Akins,1926-05-25,M,92.95194288725985,,5.0,,1.0,,3.0,,1.0,,dnh5854,,26.0,,,,0.0
75,Luis Alberni,1886-10-04,M,132.58862262743247,,9.0,,1.0,,,,1.0,,sp3e3my,,33.0,54.0,,,1.0
78,Edward Albert,1951-02-20,M,68.20947726510471,12.213803158175732,2.0,11.0,1.0,3.0,,1.0,1.0,1.0,9q5ctr1,20000000.0,27.0,,27.0,27.0,0.0
81,Frank Albertson,1909-02-02,M,110.2582530784342,,1.0,,2.0,,5.0,,1.0,,cb5xm9w,,22.0,34.0,,,1.0
82,Jack Albertson,1907-06-16,M,111.89278356160635,,5.0,,1.0,,1.0,,4.0,,drt3qg7,,45.0,,,,0.0
85,Chris Alcaide,1922-10-23,M,96.53860106641476,-3.6277267842597727,10.0,5.0,2.0,,,2.0,2.0,3.0,dpq9ucb,20000000.0,26.0,27.0,,,1.0
89,Antony Alda,1956-12-09,M,62.40785231729604,,11.0,,2.0,,2.0,,1.0,,gbtgxuw,,19.0,21.0,,,1.0
90,Robert Alda,1914-02-26,M,105.19312511550542,,2.0,,2.0,,,,1.0,,dr5regw,,18.0,32.0,,,1.0
99,Frank Aletter,1926-01-14,M,93.3106087051753,-9.363641963900696,0.0,5.0,2.0,2.0,4.0,2.0,1.0,3.0,dr5x8y2,20000000.0,32.0,48.0,23.0,23.0,1.0
102,Cris Alexander,1920-01-14,M,99.31210086449413,,0.0,,1.0,,,,5.0,,9y7txts,,91.0,,,,0.0
103,Flex Alexander,1970-04-15,M,49.060555658227074,-3.080145382862072,3.0,4.0,1.0,1.0,2.0,2.0,3.0,5.0,dr72jm9,5003530.0,30.0,,27.0,27.0,0.0
104,Jace Alexander,1964-04-07,M,55.0812131665948,-6.3546821632203265,3.0,7.0,1.0,1.0,3.0,3.0,3.0,1.0,dr5regw,625441.0,34.0,,28.0,28.0,0.0
105,Jason Alexander,1959-09-23,M,59.620662984181735,,9.0,,1.0,,2.0,,6.0,,dr5r8pt,,23.0,,,,0.0
112,Mahershala Ali,1974-02-16,M,45.21927212742219,,1.0,,1.0,,1.0,,2.0,,9q9p1dh,,39.0,,,,0.0
113,Jed Allan,1935-03-01,M,84.18516465088263,,2.0,,1.0,,3.0,,4.0,,dr5regw,,23.0,,,,0.0
130,Woody Allen,1935-12-01,M,83.4322402239608,,11.0,,3.0,,5.0,,4.0,,dr5rmm5,,21.0,27.0,,,1.0
134,Marshall Allman,1984-04-05,M,35.08627829455772,,3.0,,1.0,1.0,3.0,3.0,1.0,1.0,9v6kpvc,5003530.0,22.0,,,,0.0
136,Christopher Allport,1947-06-17,M,71.88922428249724,,5.0,,2.0,,2.0,,1.0,,drt2zp2,,32.0,43.0,,,1.0
148,Kirk Alyn,1910-10-08,M,108.57991608315024,-8.525842419762213,9.0,3.0,1.0,,3.0,4.0,1.0,2.0,dr68jmf,20000000.0,32.0,45.0,,,1.0
152,Dan Amboyer,1985-12-28,M,33.355921066140986,,0.0,,1.0,,,,1.0,,dpsby4p,,32.0,,,,0.0
154,Don Ameche,1908-05-31,M,110.93451610916037,,5.0,,1.0,,6.0,,6.0,,dp9d386,,24.0,,,,1.0
157,Leon Ames,1902-01-20,M,117.29467408639464,,1.0,,1.0,,2.0,,1.0,,dp5w42c,,36.0,,,,0.0
158,Robert Downing Ames,1889-03-23,M,130.1217684141358,,3.0,,4.0,,,,1.0,,drkmd70,,18.0,,,,1.0
159,John Amos,1939-12-27,M,79.36097250456888,,0.0,,3.0,,6.0,,1.0,,dr5r8pt,,26.0,36.0,,,1.0
169,Eddie Anderson,1905-09-18,M,113.63409241805105,,8.0,,2.0,,4.0,,2.0,,9q9p1dh,,27.0,68.0,,,1.0
2253,Richard Anderson,1926-08-08,M,92.7465998617357,,7.0,,2.0,,3.0,,4.0,,dr5mk30,,29.0,30.0,,,1.0
2260,Dana Andrews,1909-01-01,M,110.3458661026578,,0.0,,2.0,,4.0,,1.0,,dj8k40g,,23.0,,,,1.0
2262,Edward Andrews,1914-10-09,M,104.57709603893305,,9.0,,1.0,,3.0,,1.0,,djuj4s2,,41.0,,,,1.0
2267,Tige Andrews,1920-03-19,M,99.13413690903988,,2.0,,1.0,,,,1.0,,dr5rmm5,,30.0,,,,0.0
2272,Paul Anka,1941-07-30,M,77.77024853350856,,7.0,,3.0,,6.0,,2.0,,f244mkw,,22.0,60.0,,,1.0
2274,Dave Annable,1979-09-15,M,39.6421555541866,-5.651040062424282,8.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,dr73bst,20000000.0,31.0,,25.0,25.0,0.0
2275,Michael Ansara,1922-04-15,M,97.06154130474958,-3.6551058543296575,3.0,11.0,3.0,1.0,1.0,,1.0,1.0,,,33.0,34.0,30.0,30.0,1.0
2282,Craig Anton,1962-08-28,M,56.69110248670403,,8.0,,1.0,,,,4.0,,9z7f8yw,,32.0,,,,1.0
2284,Lou Antonio,1934-01-23,M,85.28580326769202,,1.0,,1.0,,,,1.0,,9y69ubw,,31.0,46.0,,,1.0
2289,Judd Apatow,1967-12-06,M,51.41789359124417,-4.3039898149859335,11.0,3.0,1.0,1.0,,,2.0,1.0,dr5rzvk,20000000.0,30.0,,25.0,25.0,0.0
2295,Royce D. Applegate,1939-12-25,M,79.36644831858284,,0.0,,1.0,,,,3.0,,9y69xtm,,19.0,30.0,,,1.0
2466,Roscoe Arbuckle,1887-03-24,M,132.1204405292374,-2.5243502604434043,3.0,9.0,3.0,,,,4.0,1.0,9z1f21d,5003530.0,21.0,38.0,,,1.0
2467,Allan Arbus,1918-02-15,M,101.22315995537213,-5.073341683949705,1.0,2.0,2.0,1.0,3.0,,2.0,,dr5regw,118.0,23.0,51.0,18.0,18.0,1.0
2472,Geoffrey Arend,1978-02-28,M,41.18633510612811,2.8255200312121405,2.0,4.0,1.0,1.0,,,3.0,2.0,dr72h8r,5003530.0,31.0,,34.0,34.0,0.0
2479,Adam Arkin,1956-08-19,M,62.71449790207876,,7.0,,2.0,,2.0,,3.0,,dr5rmm5,,43.0,,,,1.0
2480,Alan Arkin,1934-03-26,M,85.11605303325871,,3.0,,3.0,,3.0,,5.0,,dr5rmm5,,21.0,27.0,,,1.0
2512,Matthew Arkin,1960-03-21,M,59.12783972292381,,3.0,,1.0,,2.0,,2.0,,dr5rmm5,,33.0,51.0,,,1.0
2514,Richard Arlen,1899-09-01,M,119.67939108948164,,8.0,,3.0,,,,1.0,,9zvz9xt,,21.0,24.0,,,1.0
2515,Pedro Armendáriz,1912-05-09,M,106.99466792610387,,4.0,,1.0,,2.0,,1.0,,9g3w81t,,26.0,,,,0.0
2517,Fred Armisen,1966-12-04,M,52.42270546280896,,11.0,,2.0,,,,,,dj8d0nu,,32.0,38.0,,,1.0
2521,Curtis Armstrong,1953-11-27,M,65.44145328103933,,11.0,,1.0,,,,4.0,,dpsby4p,,41.0,,,,0.0
2525,Robert Armstrong,1890-11-20,M,128.4598588608938,-5.199285406271176,10.0,1.0,4.0,,,,1.0,1.0,dpsr18k,5003530.0,30.0,35.0,,,1.0
2528,Desi  Arnaz,1917-03-02,M,102.18142740781806,5.571640759221613,2.0,7.0,2.0,2.0,,,3.0,8.0,d7d1f7y,5003530.0,23.0,43.0,29.0,29.0,1.0
2529,James Arness,1923-05-26,M,95.94995105991224,,5.0,,2.0,,4.0,,1.0,,9zvxvey,,25.0,37.0,,,1.0
2530,Will Arnett,1970-05-04,M,49.00853542509429,6.305399837094532,4.0,0.0,2.0,2.0,2.0,2.0,3.0,1.0,dpz83df,20000000.0,24.0,25.0,30.0,30.0,1.0
2532,Danny Arnold,1925-01-23,M,94.28530359966324,-7.4799619430926025,1.0,6.0,2.0,,2.0,,4.0,1.0,dr5regw,5003530.0,30.0,,,,1.0
2536,Tom Arnold,1959-03-06,M,60.17098229258643,6.335516814171407,2.0,10.0,4.0,3.0,2.0,5.0,2.0,5.0,9zq334w,5003530.0,31.0,35.0,22.0,22.0,1.0
2540,Cliff Arquette,1905-12-27,M,113.36030171735216,,0.0,,1.0,,,,2.0,,dpksgn9,,29.0,,,,1.0
2541,David Arquette,1971-09-08,M,47.661485177655926,7.230812405456648,8.0,5.0,2.0,1.0,3.0,1.0,10.0,5.0,dqbkcv5,5003530.0,28.0,42.0,35.0,35.0,1.0
2542,Lewis Arquette,1935-12-14,M,83.39664743286994,,11.0,,1.0,,,,3.0,,dp3wjzt,,28.0,,,,0.0
2550,Dana Ashbrook,1967-05-24,M,51.954523364613934,,5.0,,1.0,,,,1.0,,9muez5r,,48.0,,,,0.0
2552,John Asher,1971-01-13,M,48.31310704531922,,0.0,,2.0,,1.0,,4.0,,9q5ctr1,,23.0,25.0,,,1.0
2556,John Ashton,1948-02-22,M,71.20474753075011,,2.0,,2.0,,2.0,,1.0,,drkrs0m,,20.0,22.0,,,1.0
2560,Ed Asner,1929-11-15,M,89.47480098838444,,10.0,,2.0,,4.0,,3.0,,9yuwrvc,,30.0,59.0,,,1.0
