,link
0,/wiki/Beverly_Aadland
1,/wiki/Mariann_Aalda
2,/wiki/Caroline_Aaron
3,/wiki/Diahnne_Abbott
4,/wiki/Rose_Abdoo
5,/wiki/Donzaleigh_Abernathy
6,/wiki/Whitney_Able
7,/wiki/Candice_Accola
8,/wiki/Amy_Acker
9,/wiki/Jean_Acker
10,/wiki/Bettye_Ackerman
11,/wiki/Amy_Adams
12,/wiki/Brooke_Adams_(actress)
13,/wiki/Edie_Adams
14,/wiki/Jane_Adams_(actress)
15,/wiki/Joey_Lauren_Adams
16,/wiki/Julie_Adams
17,/wiki/Lillian_Adams
18,/wiki/Shohreh_Aghdashloo
19,/wiki/Dianna_Agron
20,/wiki/Christina_Aguilera
21,/wiki/Lexi_Ainsworth
22,/wiki/Jessica_Alba
23,/wiki/Lola_Albright
24,/wiki/Erika_Alexander
25,/wiki/Jaimie_Alexander
26,/wiki/Jane_Alexander
27,/wiki/Khandi_Alexander
28,/wiki/Sasha_Alexander
29,/wiki/Tatyana_Ali
30,/wiki/Ana_Alicia
31,/wiki/Debbie_Allen
32,/wiki/Elizabeth_Allen_(actress)
33,/wiki/Joan_Allen
34,/wiki/Karen_Allen
35,/wiki/Krista_Allen
36,/wiki/Laura_Allen
37,/wiki/Nancy_Allen_(actress)
38,/wiki/Kirstie_Alley
39,/wiki/Jamie_Anne_Allman
40,/wiki/June_Allyson
41,/wiki/Daniella_Alonso
42,/wiki/Trini_Alvarado
43,/wiki/Lauren_Ambrose
44,/wiki/Elsie_Ames
45,/wiki/M%C3%A4dchen_Amick
46,/wiki/Suzy_Amis
47,/wiki/Eva_Amurri
48,/wiki/Kristina_Anapau
49,/wiki/Andrea_Anders
50,/wiki/Gillian_Anderson
51,/wiki/Loni_Anderson
52,"/wiki/Mary_Anderson_(actress,_born_1918)"
53,/wiki/Melody_Anderson
54,/wiki/Nicole_Gale_Anderson
55,/wiki/Jennifer_Aniston
56,/wiki/Odette_Annable
57,/wiki/Susan_Anton
58,/wiki/Shiri_Appleby
59,/wiki/Christina_Applegate
60,/wiki/Anne_Archer
61,/wiki/Beverly_Archer
62,/wiki/Leila_Arcieri
63,/wiki/Eve_Arden
64,/wiki/Ashley_Argota
65,/wiki/Jillian_Armenante
66,/wiki/Bess_Armstrong
67,/wiki/Samaire_Armstrong
68,/wiki/Alexis_Arquette
69,/wiki/Patricia_Arquette
70,/wiki/Rosanna_Arquette
71,/wiki/Bea_Arthur
72,/wiki/Jean_Arthur
73,/wiki/Katie_Aselton
74,/wiki/Ashanti_(singer)
75,/wiki/Elizabeth_Ashley
76,/wiki/Mary_Astor
77,/wiki/Margaret_Avery
78,/wiki/Awkwafina
79,/wiki/Nicki_Aycox
80,/wiki/Rochelle_Aytes
81,/wiki/Candice_Azzara
82,/wiki/Lauren_Bacall
83,/wiki/Barbara_Bach
84,/wiki/Catherine_Bach
85,/wiki/Mary_Badham
86,/wiki/Jane_Badler
87,/wiki/Erykah_Badu
88,/wiki/Katherine_Bailess
89,/wiki/Laura_Bailey_(voice_actress)
90,/wiki/Pearl_Bailey
91,/wiki/Barbara_Bain
92,/wiki/Fay_Bainter
93,/wiki/Diora_Baird
94,/wiki/Blanche_Baker
95,/wiki/Carroll_Baker
96,/wiki/Diane_Baker
97,/wiki/Kathy_Baker
98,/wiki/Leigh-Allyn_Baker
99,/wiki/Brenda_Bakke
100,/wiki/Fairuza_Balk
101,/wiki/Lucille_Ball
102,/wiki/Kaye_Ballard
103,/wiki/Talia_Balsam
104,/wiki/Anne_Bancroft
105,/wiki/Tallulah_Bankhead
106,/wiki/Elizabeth_Banks
107,/wiki/Tyra_Banks
108,/wiki/Christine_Baranski
109,/wiki/Adrienne_Barbeau
110,/wiki/Ellen_Barkin
111,/wiki/Joanna_Barnes
112,/wiki/Priscilla_Barnes
113,/wiki/Majel_Barrett
114,/wiki/Barbara_Barrie
115,/wiki/Dana_Barron
116,/wiki/Drew_Barrymore
117,/wiki/Ethel_Barrymore
118,/wiki/Roseanne_Barr
119,/wiki/Bonnie_Bartlett
120,/wiki/Mischa_Barton
121,/wiki/Kim_Basinger
122,/wiki/Angela_Bassett
123,/wiki/Justine_Bateman
124,/wiki/Kathy_Bates
125,/wiki/Cyia_Batten
126,/wiki/Frances_Bavier
127,/wiki/Anne_Baxter
128,/wiki/Meredith_Baxter
129,/wiki/Jennifer_Beals
130,/wiki/Amanda_Bearse
131,/wiki/Madisen_Beaty
132,/wiki/Kimberly_Beck
133,/wiki/Bonnie_Bedelia
134,/wiki/Nicole_Beharie
135,/wiki/Beth_Behrs
136,/wiki/Doris_Belack
137,/wiki/Ashley_Bell_(actress)
138,/wiki/Catherine_Bell_(actress)
139,/wiki/Jillian_Bell
140,/wiki/Kristen_Bell
141,/wiki/Lake_Bell
142,/wiki/Camilla_Belle
143,/wiki/Kathleen_Beller
144,/wiki/Troian_Bellisario
145,/wiki/Maria_Bello
146,/wiki/Bea_Benaderet
147,/wiki/Andrea_Bendewald
148,/wiki/Annette_Bening
149,/wiki/Constance_Bennett
150,/wiki/Haley_Bennett
151,/wiki/Joan_Bennett
152,/wiki/Melissa_Benoist
153,/wiki/Amber_Benson
154,/wiki/Ashley_Benson
155,/wiki/Jodi_Benson
156,/wiki/Jayne_Bentzen
157,/wiki/Julie_Benz
158,/wiki/Candice_Bergen
159,/wiki/Polly_Bergen
160,/wiki/Elizabeth_Berkley
161,/wiki/Jeannie_Berlin
162,/wiki/Crystal_Bernard
163,/wiki/Sandra_Bernhard
164,/wiki/Halle_Berry
165,/wiki/Valerie_Bertinelli
166,/wiki/Angela_Bettis
167,/wiki/Troy_Beyer
168,/wiki/Mayim_Bialik
169,/wiki/Leslie_Bibb
170,/wiki/Jessica_Biel
171,/wiki/Barbara_Billingsley
172,/wiki/Rachel_Bilson
173,/wiki/Traci_Bingham
174,/wiki/Thora_Birch
175,/wiki/Kerry_Bish%C3%A9
176,/wiki/Summer_Bishil
177,/wiki/Julie_Bishop_(actress)
178,/wiki/Danielle_Bisutti
179,/wiki/Karen_Black
180,/wiki/Sofia_Black-D%27Elia
181,/wiki/Joan_Blackman
182,/wiki/Betsy_Blair
183,/wiki/Linda_Blair
184,/wiki/Patricia_Blair
185,/wiki/Selma_Blair
186,/wiki/Amanda_Blake
187,/wiki/Susan_Blakely
188,/wiki/Ronee_Blakley
189,/wiki/Jolene_Blalock
190,/wiki/Rowan_Blanchard
191,/wiki/Tammy_Blanchard
192,/wiki/Alexis_Bledel
193,/wiki/Yasmine_Bleeth
194,/wiki/Joan_Blondell
195,/wiki/Nikki_Blonsky
196,/wiki/Moon_Bloodgood
197,/wiki/Verna_Bloom
198,/wiki/Emily_Blunt
199,/wiki/Ann_Blyth
200,/wiki/Eleanor_Boardman
201,/wiki/Mary_Boland
202,/wiki/Beulah_Bondi
203,/wiki/Lisa_Bonet
204,/wiki/Shirley_Booth
205,/wiki/Olive_Borden
206,/wiki/Alex_Borstein
207,/wiki/Michelle_Borth
208,/wiki/Samantha_Boscarino
209,/wiki/Rachel_Boston
210,/wiki/Kate_Bosworth
211,/wiki/Barbara_Bouchet
212,/wiki/Julie_Bovasso
213,/wiki/Clara_Bow
214,/wiki/Katrina_Bowden
215,/wiki/Andrea_Bowen
216,/wiki/Julie_Bowen
217,/wiki/Jessica_Bowman
218,/wiki/Jenna_Boyd
219,/wiki/Lara_Flynn_Boyle
220,/wiki/Lucy_Boynton
221,/wiki/Lorraine_Bracco
222,/wiki/Alice_Brady
223,/wiki/Alexandra_Breckenridge
224,/wiki/Tracey_E._Bregman
225,/wiki/Lucille_Bremer
226,/wiki/Eileen_Brennan
227,/wiki/Amy_Brenneman
228,/wiki/Abigail_Breslin
229,/wiki/Jordana_Brewster
230,/wiki/Paget_Brewster
231,/wiki/Chloe_Bridges
232,/wiki/Alison_Brie
233,/wiki/Connie_Britton
234,/wiki/Beth_Broderick
235,/wiki/Jayne_Brook
236,/wiki/Geraldine_Brooks_(actress)
237,/wiki/Louise_Brooks
238,/wiki/Blair_Brown
239,/wiki/Kimberly_J._Brown
240,/wiki/Vanessa_Brown
241,/wiki/Yvette_Nicole_Brown
242,/wiki/Leslie_Browne
243,/wiki/Logan_Browning
244,/wiki/Sabrina_Bryan
245,/wiki/Joy_Bryant
246,/wiki/Tara_Buck
247,/wiki/Kira_Buckland
248,/wiki/Betty_Buckley
249,/wiki/Sandra_Bullock
250,/wiki/Cara_Buono
251,/wiki/Billie_Burke
252,/wiki/Delta_Burke
253,/wiki/Marylouise_Burke
254,/wiki/Carol_Burnett
255,/wiki/Brooke_Burns
256,/wiki/Catherine_Burns
257,/wiki/Heather_Burns
258,/wiki/Ellen_Burstyn
259,/wiki/Hilarie_Burton
260,/wiki/Kate_Burton_(actress)
261,/wiki/Sophia_Bush
262,/wiki/Brett_Butler_(actress)
263,/wiki/Yancy_Butler
264,/wiki/Spring_Byington
265,/wiki/Amanda_Bynes
266,/wiki/Marion_Byron
267,/wiki/Jeanne_Cagney
268,/wiki/Erin_Cahill
269,/wiki/L._Scott_Caldwell
270,/wiki/Alice_Calhoun
271,/wiki/Sarah_Wayne_Callies
272,/wiki/Vanessa_Bell_Calloway
273,/wiki/Candace_Cameron
274,/wiki/Anna_Camp
275,/wiki/Colleen_Camp
276,/wiki/Christa_Campbell
277,/wiki/Danielle_Campbell
278,/wiki/Maia_Campbell
279,/wiki/Tisha_Campbell
280,/wiki/Maria_Canals-Barrera
281,/wiki/Dyan_Cannon
282,/wiki/Lizzy_Caplan
283,/wiki/Jessica_Capshaw
284,/wiki/Kate_Capshaw
285,/wiki/Irene_Cara
286,/wiki/Gina_Carano
287,/wiki/Linda_Cardellini
288,/wiki/Mariah_Carey
289,/wiki/Lynn_Carlin
290,/wiki/Kitty_Carlisle
291,/wiki/Amy_Carlson
292,/wiki/Kelly_Carlson
293,/wiki/Jeanne_Carmen
294,/wiki/Julie_Carmen
295,/wiki/Sue_Carol
296,/wiki/Charisma_Carpenter
297,/wiki/Jennifer_Carpenter
298,/wiki/Sabrina_Carpenter
299,/wiki/Ever_Carradine
300,/wiki/Barbara_Carrera
301,/wiki/Tia_Carrere
302,/wiki/Diahann_Carroll
303,/wiki/Madeline_Carroll
304,/wiki/Nancy_Carroll
305,/wiki/Dixie_Carter
306,/wiki/Lynda_Carter
307,/wiki/Angela_Cartwright
308,/wiki/Veronica_Cartwright
309,/wiki/Rosalind_Cash
310,/wiki/Peggy_Cass
311,/wiki/Joanna_Cassidy
312,/wiki/Katie_Cassidy
313,/wiki/Peggie_Castle
314,/wiki/Shanley_Caswell
315,/wiki/Phoebe_Cates
316,/wiki/Jessica_Cauffiel
317,/wiki/Emma_Caulfield
318,/wiki/Joan_Caulfield
319,/wiki/Kristin_Cavallari
320,/wiki/Lacey_Chabert
321,/wiki/Faune_Chambers
322,/wiki/Carol_Channing
323,/wiki/Stockard_Channing
324,/wiki/Cyd_Charisse
325,/wiki/Annette_Charles
326,/wiki/Daveigh_Chase
327,/wiki/Jessica_Chastain
328,/wiki/Ruth_Chatterton
329,/wiki/Kristin_Chenoweth
330,/wiki/Cher
331,/wiki/Vanessa_Lee_Chester
332,/wiki/Lois_Chiles
333,/wiki/Anna_Chlumsky
334,/wiki/Margaret_Cho
335,/wiki/Rosalind_Chao
336,/wiki/Erika_Christensen
337,/wiki/Claudia_Christian
338,/wiki/Jamie_Chung
339,/wiki/Charlotte_Church
340,/wiki/Marguerite_Churchill
341,/wiki/Ciara
342,/wiki/Candy_Clark
343,/wiki/Judy_Clark
344,/wiki/Melinda_Clarke
345,/wiki/Sarah_Clarke
346,/wiki/Patricia_Clarkson
347,/wiki/Jill_Clayburgh
348,/wiki/Kiersey_Clemons
349,/wiki/Colleen_Clinkenbeard
350,/wiki/Rosemary_Clooney
351,/wiki/Glenn_Close
352,/wiki/Imogene_Coca
353,/wiki/Lauren_Cohan
354,/wiki/Claudette_Colbert
355,/wiki/Taylor_Cole
356,/wiki/Tina_Cole
357,/wiki/Holliston_Coleman
