,name_m,bday_m,spouse_m,child_m,education_m,role_m,birthplace_m,bday_m_sp,birthplace_m_sp,role_m_sp,spouse_m_sp,child_m_sp,age_m_diff,age_m,age_m_spouse
0,50 Cent,1975-07-06,"
 G-Unit 
 Dr. Dre 
 Eminem 
 The Game 
 Jeremih 
 Mobb Deep 
 Obie Trice 
 Rotimi 
 Sha Money XL 
 Spider Loc 
",2,,"
Rapper
singer
songwriter
actor
entrepreneur
investor
television producer
","New York City, New York, U.S.",,,,,,,43.74901606466936,
1,Lee Aaker,1943-09-25,Sharon Ann Hamilton (1969-71) (divorced),,,"Actor, producer, carpenter, ski instructor","Los Angeles, California, U.S.",,,,,,,75.52790269478497,
2,Willie Aames,1960-07-15,Vicki Weatherman ( m.  1979–1984) Maylo McCaslin ( m.  1986–2009) Winnie Hung ( m.  2014),2,,"Actor, director, television producer, screenwriter","Newport Beach, California, U.S.",,,,,,,58.72262948588951,
3,Quinton Aaron,1984-08-15,,,,Actor,"The Bronx, New York, U.S.",,,,,,,34.63726154541161,
4,Victor Aaron,1956-09-11,Eduvina Matta (m. 1974–1984) divorced,2,,"Actor, voice actor","Odessa, Texas, U.S.",,,,,,,62.563913016694386,
5,Bruce Abbott,1954-07-28,Linda Hamilton ( m.  1982;  div.  1989) Kathleen Quinlan  ( m.  1994),2,,Actor,"Portland, Oregon, U.S.",1956-09-26,"Salisbury, Maryland, U.S.",Actress,"
 Bruce Abbott ( m.  1982;  div.  1989) 
 James Cameron ( m.  1997;  div.  1999) 
",2,-2.1656844425279096,64.68852885411746,62.52284441158956
6,Bud Abbott,,Betty Smith ( m.  1918),2,,"Actor, comedian, producer","Asbury Park, New Jersey, U.S.",,,,,,,,
7,Christopher Abbott,1986-02-01,,,HB Studio,Actor,"Greenwich, Connecticut, U.S.",,,,,,,33.17248129667276,
8,Philip Abbott,,Jane Dufrayne ( m.  1950–1998),,,Actor,"Lincoln, Nebraska, U.S.",,,,,,,,
9,Richard Abbott,1899-05-22,,,,Actor,"Antwerp, Belgium",,,,,,,119.87104457997084,
10,Jake Abel,1987-11-18,Allie Wood ( m.  2013),,,"Model, actor, singer","Canton, Ohio, U.S.",,,,,,,31.379152207095284,
11,Walter Abel,1898-06-06,Marietta Bitter (1926-1979; her death),2,,Actor,"St. Paul, Minnesota, U.S.",,,,,,,120.82931203241682,
12,Zachary Abel,1980-09-04,,,,Actor,"Middletown, Indiana, U.S.",,,,,,,38.58258554248205,
13,F. Murray Abraham,1939-10-24,Kate Hannan  ( m.  1962),2,,Actor,"Pittsburgh, Pennsylvania, U.S.",,,,,,,79.44858552879252,
14,Jon Abrahams,1977-10-29,,,,Actor,"New York City, New York, U.S.",,,,,,,41.43274673675709,
15,Omid Abtahi,1979-07-12,,,,Actor,"Tehran, Iran",,,,,,,39.732506485417225,
16,Yousef Abu-Taleb,,,,,Actor/Producer/Comedian,"Arlington County, Virginia, U.S.",,,,,,,,
17,Kirk Acevedo,1971-11-27,Kiersten Warren  ( m.  2005),"2, including stepdaughter Misti Traya",,Actor,"Brooklyn, New York City, U.S.",,"Iowa, U.S.",Actress,Jonathan Lemkin ( m.  1990;  div.  2005) Kirk Acevedo  ( m.  2005),"2, including Misti Traya",,47.354839592873226,
18,Jensen Ackles,1978-03-01,Danneel Harris  ( m.  2010),3,,"Actor, director","Dallas, Texas, U.S.",1979-03-18,"Lafayette, Louisiana, U.S.",Actress,Jensen Ackles [1]  ( m.  2010),3,-1.04588047666961,41.0959841748975,40.050103698227886
19,Rodolfo Acosta,1920-07-29,Jeanine Cohen  (m. 1945-19??) [1],2[1],,,"Chamizal, Texas, U.S.",,,,,,,98.68512015989377,
20,Jay Acovone,1955-08-20,,,,Actor,"Mahopac, New York, U.S.",,,,,,,63.62622093540593,
21,Eddie Acuff,1903-06-03,,,,Actor,"Caruthersville, Missouri, U.S.",,,,,,,115.84084546568376,
