,Unnamed: 0,Unnamed: 0.1,name,bday,name_spouse,num_of_child,edu,role,birthplace,bday_sp,birthplace_sp,role_sp,name_sp_sp,num_of_child_sp,age_diff,age,age_sp,name_spouse_cl,year_m,year_div,name_sp_sp_cl,year_m_sp,year_div_sp,num_of_child_cl,num_of_child_sp_cl,name_spouse_cl,num_of_m,name_sp_sp_cl,num_of_m_sp,num_of_role,num_of_role_sp,birthplace,birthplace_sp,birthplace,birthplace_sp,geohash,geohash_sp,zodiac,zodiac_sp
0,0,0,Beverly Aadland,1942-09-16,Maurice Jose de Leon ( m.   1961 ;  div.   1964 ) Joseph E. McDonald ( m.   1967 ;  div.   1969 ) Ronald Fisher  ( m.  1969),1,,Actress,"Hollywood, California , U.S.",,,,,,,76.55735572941266,,"['Maurice Jose de Leon', 'Joseph E McDonald', 'Ronald Fisher']","[1961, 1967, 1969]","[1964, 1969]",,,,1.0,,"['Maurice Jose de Leon', 'Joseph E McDonald', 'Ronald Fisher']",3.0,,,1.0,3.0,"Hollywood, California , U.S.",,"Hollywood, California , U.S.",,9q5cgq7,,8.0,
1,1,1,Caroline Aaron,1952-08-07,James Foreman ( m.  1981),2,,"Actress, film producer","Richmond, Virginia , U.S.",,,,,,,66.66529771316317,,['James Foreman'],[1981],,,,,2.0,,['James Foreman'],1.0,,,3.0,2.0,"Richmond, Virginia , U.S.",,"Richmond, Virginia , U.S.",,dq8vtfh,,7.0,
2,2,2,Diahnne Abbott,1945-05-01,Robert De Niro ( m.  1976;  div.  1988),"2, including  Drena De Niro",,"Actress, singer","New York City ,  NY ,  US",1943-08-17,"Manhattan, New York City , U.S.","Actor, producer, director",Diahnne Abbott ( m.  1976;  div.  1988) Grace Hightower ( m.  1997; separated 2018),"6, including Drena and Raphael",1.7057160653538403,73.93444081671765,75.64015688207151,['Robert De Niro'],[1976],[1988],"['Diahnne Abbott', 'Grace Hightower']","[1976, 1997]","[1988, 2018]",2.0,6.0,['Robert De Niro'],1.0,"['Diahnne Abbott', 'Grace Hightower']",2.0,2.0,1.0,"New York City ,  NY ,  US","Manhattan, New York City , U.S.","New York City ,  NY ,  US","Manhattan, New York City , U.S.",dr5regw,,4.0,7.0
3,3,3,Rose Abdoo,1962-11-28,,,,"Actress, comedian","Chicago ,  Illinois , U.S.",,,,,,,56.357077831851434,,,,,,,,,,,,,,2.0,3.0,"Chicago ,  Illinois , U.S.",,"Chicago ,  Illinois , U.S.",,dp3wjzt,,11.0,
4,4,4,Donzaleigh Abernathy,1957-08-05,,,,"Actress, author, civil rights activist","Montgomery, Alabama , U.S.",,,,,,,61.671355332416134,,,,,,,,,,,,,,5.0,1.0,"Montgomery, Alabama , U.S.",,"Montgomery, Alabama , U.S.",,djf8hn2,,7.0,
5,5,5,Whitney Able,1982-06-02,Scoot McNairy  ( m.  2010),2,,"Actress, model","Houston ,  Texas , U.S.",1977-11-11,"Dallas ,  Texas , U.S.","Actor, producer",Whitney Able  ( m.  2010),2,4.5558772596288755,36.846752500051345,41.40262975968021,['Scoot McNairy'],[2010],,['Whitney Able'],[2010],,2.0,2.0,['Scoot McNairy'],1.0,['Whitney Able'],1.0,2.0,4.0,"Houston ,  Texas , U.S.","Dallas ,  Texas , U.S.","Houston ,  Texas , U.S.","Dallas ,  Texas , U.S.",9vk1mc9,,5.0,10.0
6,6,6,Candice King,1987-05-13,Joe King  ( m.   2014 ),1,Lake Highland Preparatory School,Actress singer songwriter,"Houston ,  Texas , U.S.",,,,,,,31.90209244543009,,['Joe King'],[2014],,,,,1.0,,['Joe King'],1.0,,,3.0,5.0,"Houston ,  Texas , U.S.",,"Houston ,  Texas , U.S.",,9vk1mc9,,4.0,
7,7,7,Amy Acker,1976-12-05,James Carpinello  ( m.  2003),2,,Actress,"Dallas ,  Texas , U.S.",1975-08-13,"Albany, New York , U.S.",,Amy Acker  ( m.  2003),2,1.3141953633544836,42.336256049063294,43.65045141241778,['James Carpinello'],[2003],,['Amy Acker'],[2003],,2.0,2.0,['James Carpinello'],1.0,['Amy Acker'],1.0,1.0,1.0,"Dallas ,  Texas , U.S.","Albany, New York , U.S.","Dallas ,  Texas , U.S.","Albany, New York , U.S.",9vg4mqf,,11.0,7.0
8,8,8,Jean Acker,1893-10-23,Rudolph Valentino ( m.  1919;  div.  1923),,,Actress,"Trenton, New Jersey , U.S.",1895-05-06,"Castellaneta ,  Apulia ,  Kingdom of Italy",Actor,Jean Acker ( m.  1919;  div.  1923) Natacha Rambova ( m.  1923;  div.  1925),,-1.5332279239135642,125.4536369672204,123.92040904330685,['Rudolph Valentino'],[1919],[1923],"['Jean Acker', 'Natacha Rambova']","[1919, 1923]","[1923, 1925]",,,['Rudolph Valentino'],1.0,"['Jean Acker', 'Natacha Rambova']",2.0,1.0,1.0,"Trenton, New Jersey , U.S.","Castellaneta ,  Apulia ,  Kingdom of Italy","Trenton, New Jersey , U.S.","Castellaneta ,  Apulia ,  Kingdom of Italy",dr4ufcc,,10.0,4.0
9,9,9,Bettye Ackerman,,"November 1, 2006 (2006-11-01)  (aged 82) Columbia, South Carolina , U.S.",,,"Actress, artist","Cottageville, South Carolina , U.S.",1891-03-10,"New York City , U.S.","Actor, teacher, engineer",Lillian Taiz ( m.  1926; died 1941) Bettye Ackerman ( m.  1956; His Death 1984),,,,128.0765518799154,,,,"['Lillian Taiz', 'Bettye Ackerman']","[1926, 1956]",,,,,,"['Lillian Taiz', 'Bettye Ackerman']",2.0,2.0,3.0,"Cottageville, South Carolina , U.S.","New York City , U.S.","Cottageville, South Carolina , U.S.","New York City , U.S.",djyg2eg,,,2.0
