,name,bday,sex,age,age_diff,zodiac,zodiac_sp,num_of_m,num_of_m_sp,num_of_child_cl,num_of_child_sp_cl,num_of_role,num_of_role_sp,geohash,geo_distance,age_m_1,age_div_1,age_m_sp_1,age_div_sp_1,divorce
0,50 Cent,1975-07-06,M,43.836629088893005,,6.0,,,,2.0,,8.0,,dr5regw,,,,,,
1,Lee Aaker,1943-09-25,M,75.6155157190086,,9.0,,,,,,5.0,,9q5ctr1,,,,,,
2,Willie Aames,1960-07-15,M,58.81024251011314,,6.0,,3.0,,2.0,,5.0,,9mupk2n,,19.0,,,,1.0
3,Quinton Aaron,1984-08-15,M,34.72487456963524,,7.0,,,,,,1.0,,dr72r5t,,,,,,
4,Victor Aaron,1956-09-11,M,62.651526040918036,,8.0,,,,2.0,,3.0,,9txjnt6,,,,,,
5,Bruce Abbott,1954-07-28,M,64.77614187834111,-2.1656844425279096,7.0,9.0,2.0,2.0,2.0,2.0,1.0,1.0,c20fbmg,20000000.0,28.0,35.0,26.0,26.0,1.0
6,Bud Abbott,,M,,,,,1.0,,2.0,,3.0,,dr5kgcf,,,,,,0.0
7,Christopher Abbott,1986-02-01,M,33.26009432089639,,1.0,,,,,,1.0,,dr79ks9,,,,,,
8,Philip Abbott,,M,,,,,1.0,,,,1.0,,9z70pmz,,,,,,1.0
9,Richard Abbott,1899-05-22,M,119.95865760419449,,5.0,,,,,,1.0,,u155khj,,,,,,
10,Jake Abel,1987-11-18,M,31.466765231318927,,10.0,,1.0,,,,3.0,,dpq0h5n,,26.0,,,,0.0
11,Walter Abel,1898-06-06,M,120.91692505664044,,5.0,,,,2.0,,1.0,,9zvz9xt,,,,,,
12,Zachary Abel,1980-09-04,M,38.67019856670568,,8.0,,,,,,1.0,,dp55vs1,,,,,,
13,F. Murray Abraham,1939-10-24,M,79.53619855301616,,10.0,,1.0,,2.0,,1.0,,dppn59u,,23.0,,,,0.0
14,Jon Abrahams,1977-10-29,M,41.52035976098072,,10.0,,,,,,1.0,,dr5regw,,,,,,
15,Omid Abtahi,1979-07-12,M,39.820119509640854,,6.0,,,,,,1.0,,tnke13h,,,,,,
16,Yousef Abu-Taleb,,M,,,,,,,,,1.0,,dqcjjy0,,,,,,
