,divorce
2,1.0
5,1.0
6,0.0
8,1.0
10,0.0
13,0.0
17,0.0
18,0.0
19,0.0
26,1.0
29,0.0
30,1.0
31,0.0
32,0.0
37,1.0
38,0.0
40,1.0
47,1.0
48,1.0
49,0.0
52,1.0
53,1.0
54,1.0
61,1.0
70,0.0
75,1.0
78,0.0
81,1.0
82,0.0
85,1.0
89,1.0
90,1.0
99,1.0
102,0.0
103,0.0
104,0.0
105,0.0
112,0.0
113,0.0
130,1.0
134,0.0
136,1.0
148,1.0
152,0.0
154,1.0
157,0.0
158,1.0
159,1.0
169,1.0
2253,1.0
2260,1.0
2262,1.0
2267,0.0
2272,1.0
2274,0.0
2275,1.0
2282,1.0
2284,1.0
2289,0.0
2295,1.0
2466,1.0
2467,1.0
2472,0.0
2479,1.0
2480,1.0
2512,1.0
2514,1.0
2515,0.0
2517,1.0
2521,0.0
2525,1.0
2528,1.0
2529,1.0
2530,1.0
2532,1.0
2536,1.0
2540,1.0
2541,1.0
2542,0.0
2550,0.0
2552,1.0
2556,1.0
2560,1.0
2563,1.0
2564,1.0
2566,0.0
2567,0.0
2569,1.0
2572,1.0
2580,0.0
2585,0.0
2590,1.0
2591,0.0
2594,0.0
2596,0.0
2599,0.0
2602,1.0
2605,1.0
2609,0.0
2611,1.0
2613,0.0
2614,0.0
2618,0.0
2620,0.0
2621,0.0
2622,0.0
2624,1.0
2625,0.0
2637,1.0
2646,0.0
2648,0.0
2655,0.0
2656,0.0
2661,1.0
2764,1.0
2770,0.0
2771,1.0
2772,0.0
2774,0.0
2775,1.0
2779,0.0
2780,0.0
2781,0.0
2782,0.0
2783,0.0
2791,1.0
2794,1.0
2796,1.0
2803,1.0
2816,1.0
2831,1.0
2979,0.0
2984,0.0
2992,1.0
2998,0.0
2999,0.0
3000,1.0
3011,0.0
3013,0.0
3016,0.0
3020,0.0
3021,1.0
3024,1.0
3025,0.0
3029,1.0
3031,1.0
3040,0.0
3044,1.0
3047,1.0
3052,1.0
3055,0.0
3057,1.0
3059,0.0
3060,0.0
3063,1.0
3075,0.0
3078,0.0
3086,1.0
3088,0.0
3092,1.0
3093,0.0
3111,0.0
3112,0.0
3122,0.0
3124,1.0
3128,1.0
3131,1.0
3134,1.0
3135,0.0
3137,0.0
3138,0.0
3139,0.0
3141,0.0
3142,1.0
3143,0.0
3145,0.0
3146,1.0
3153,1.0
3154,0.0
3157,1.0
3158,1.0
3161,1.0
3164,0.0
3165,0.0
3166,0.0
3167,0.0
3173,0.0
3176,1.0
3190,0.0
3194,0.0
3196,0.0
3210,1.0
3211,0.0
3215,0.0
3223,0.0
3224,0.0
3229,0.0
3230,0.0
3231,1.0
3237,0.0
3246,1.0
3248,0.0
3249,0.0
3261,0.0
3263,1.0
3265,0.0
3267,1.0
3274,1.0
3279,0.0
3280,0.0
3281,0.0
3283,0.0
3288,0.0
3291,0.0
3295,0.0
3297,1.0
3303,0.0
3306,1.0
3311,1.0
3317,0.0
3320,1.0
3322,1.0
3330,1.0
3343,0.0
3348,1.0
3357,1.0
3359,1.0
3362,0.0
3486,1.0
3493,1.0
3504,1.0
3506,1.0
3507,1.0
3514,0.0
3517,0.0
3521,1.0
3527,1.0
3530,0.0
3531,1.0
3535,0.0
3536,1.0
3537,0.0
3542,1.0
3543,0.0
3547,1.0
3550,0.0
3563,1.0
3568,1.0
3572,1.0
3579,0.0
3581,1.0
3583,1.0
3584,0.0
3586,0.0
3588,0.0
3594,0.0
3603,0.0
3605,1.0
3611,1.0
3626,1.0
3627,1.0
3630,0.0
3638,1.0
