,link
0,/wiki/Beverly_Aadland
1,/wiki/Mariann_Aalda
2,/wiki/Caroline_Aaron
3,/wiki/Diahnne_Abbott
4,/wiki/Rose_Abdoo
5,/wiki/Donzaleigh_Abernathy
6,/wiki/Whitney_Able
7,/wiki/Candice_Accola
8,/wiki/Amy_Acker
9,/wiki/Jean_Acker
10,/wiki/Bettye_Ackerman
11,/wiki/Amy_Adams
12,/wiki/Brooke_Adams_(actress)
13,/wiki/Edie_Adams
14,/wiki/Jane_Adams_(actress)
15,/wiki/Joey_Lauren_Adams
16,/wiki/Julie_Adams
17,/wiki/Lillian_Adams
18,/wiki/Shohreh_Aghdashloo
19,/wiki/Dianna_Agron
20,/wiki/Christina_Aguilera
21,/wiki/Lexi_Ainsworth
22,/wiki/Jessica_Alba
23,/wiki/Lola_Albright
24,/wiki/Erika_Alexander
25,/wiki/Jaimie_Alexander
26,/wiki/Jane_Alexander
27,/wiki/Khandi_Alexander
28,/wiki/Sasha_Alexander
29,/wiki/Tatyana_Ali
30,/wiki/Ana_Alicia
31,/wiki/Debbie_Allen
32,/wiki/Elizabeth_Allen_(actress)
33,/wiki/Joan_Allen
34,/wiki/Karen_Allen
35,/wiki/Krista_Allen
36,/wiki/Laura_Allen
37,/wiki/Nancy_Allen_(actress)
38,/wiki/Kirstie_Alley
39,/wiki/Jamie_Anne_Allman
40,/wiki/June_Allyson
41,/wiki/Daniella_Alonso
42,/wiki/Trini_Alvarado
43,/wiki/Lauren_Ambrose
44,/wiki/M%C3%A4dchen_Amick
45,/wiki/Suzy_Amis
46,/wiki/Eva_Amurri
47,/wiki/Kristina_Anapau
48,/wiki/Andrea_Anders
49,/wiki/Gillian_Anderson
50,/wiki/Loni_Anderson
51,"/wiki/Mary_Anderson_(actress,_born_1918)"
52,/wiki/Melody_Anderson
53,/wiki/Nicole_Gale_Anderson
54,/wiki/Jennifer_Aniston
55,/wiki/Odette_Annable
56,/wiki/Susan_Anton
57,/wiki/Shiri_Appleby
58,/wiki/Christina_Applegate
59,/wiki/Anne_Archer
60,/wiki/Beverly_Archer
61,/wiki/Leila_Arcieri
62,/wiki/Eve_Arden
63,/wiki/Ashley_Argota
64,/wiki/Jillian_Armenante
65,/wiki/Bess_Armstrong
66,/wiki/Samaire_Armstrong
67,/wiki/Alexis_Arquette
68,/wiki/Patricia_Arquette
69,/wiki/Rosanna_Arquette
70,/wiki/Bea_Arthur
71,/wiki/Jean_Arthur
72,/wiki/Katie_Aselton
73,/wiki/Ashanti_(singer)
74,/wiki/Elizabeth_Ashley
75,/wiki/Mary_Astor
76,/wiki/Margaret_Avery
77,/wiki/Nicki_Aycox
78,/wiki/Rochelle_Aytes
79,/wiki/Candice_Azzara
80,/wiki/Lauren_Bacall
81,/wiki/Barbara_Bach
82,/wiki/Catherine_Bach
83,/wiki/Mary_Badham
84,/wiki/Jane_Badler
85,/wiki/Erykah_Badu
86,/wiki/Katherine_Bailess
87,/wiki/Laura_Bailey_(voice_actress)
88,/wiki/Pearl_Bailey
89,/wiki/Barbara_Bain
90,/wiki/Fay_Bainter
91,/wiki/Diora_Baird
92,/wiki/Blanche_Baker
93,/wiki/Carroll_Baker
94,/wiki/Diane_Baker
95,/wiki/Kathy_Baker
96,/wiki/Leigh-Allyn_Baker
97,/wiki/Brenda_Bakke
98,/wiki/Fairuza_Balk
99,/wiki/Lucille_Ball
100,/wiki/Kaye_Ballard
101,/wiki/Talia_Balsam
102,/wiki/Anne_Bancroft
103,/wiki/Tallulah_Bankhead
104,/wiki/Elizabeth_Banks
105,/wiki/Tyra_Banks
106,/wiki/Christine_Baranski
107,/wiki/Adrienne_Barbeau
108,/wiki/Ellen_Barkin
109,/wiki/Joanna_Barnes
110,/wiki/Priscilla_Barnes
111,/wiki/Majel_Barrett
112,/wiki/Barbara_Barrie
113,/wiki/Dana_Barron
114,/wiki/Drew_Barrymore
115,/wiki/Ethel_Barrymore
116,/wiki/Roseanne_Barr
117,/wiki/Bonnie_Bartlett
118,/wiki/Mischa_Barton
119,/wiki/Kim_Basinger
120,/wiki/Angela_Bassett
121,/wiki/Justine_Bateman
122,/wiki/Kathy_Bates
123,/wiki/Cyia_Batten
124,/wiki/Frances_Bavier
125,/wiki/Anne_Baxter
126,/wiki/Meredith_Baxter
127,/wiki/Jennifer_Beals
128,/wiki/Amanda_Bearse
129,/wiki/Madisen_Beaty
130,/wiki/Kimberly_Beck
131,/wiki/Bonnie_Bedelia
132,/wiki/Nicole_Beharie
133,/wiki/Beth_Behrs
134,/wiki/Doris_Belack
135,/wiki/Ashley_Bell_(actress)
136,/wiki/Catherine_Bell_(actress)
137,/wiki/Jillian_Bell
138,/wiki/Kristen_Bell
139,/wiki/Lake_Bell
140,/wiki/Camilla_Belle
141,/wiki/Kathleen_Beller
142,/wiki/Troian_Bellisario
143,/wiki/Maria_Bello
144,/wiki/Bea_Benaderet
145,/wiki/Andrea_Bendewald
146,/wiki/Annette_Bening
147,/wiki/Constance_Bennett
148,/wiki/Haley_Bennett
149,/wiki/Joan_Bennett
150,/wiki/Melissa_Benoist
151,/wiki/Amber_Benson
152,/wiki/Ashley_Benson
153,/wiki/Jodi_Benson
154,/wiki/Jayne_Bentzen
155,/wiki/Julie_Benz
156,/wiki/Candice_Bergen
157,/wiki/Polly_Bergen
158,/wiki/Elizabeth_Berkley
159,/wiki/Jeannie_Berlin
160,/wiki/Crystal_Bernard
161,/wiki/Sandra_Bernhard
162,/wiki/Halle_Berry
163,/wiki/Valerie_Bertinelli
164,/wiki/Angela_Bettis
165,/wiki/Troy_Beyer
166,/wiki/Mayim_Bialik
167,/wiki/Leslie_Bibb
168,/wiki/Jessica_Biel
169,/wiki/Barbara_Billingsley
170,/wiki/Rachel_Bilson
171,/wiki/Traci_Bingham
172,/wiki/Thora_Birch
173,/wiki/Kerry_Bish%C3%A9
174,/wiki/Summer_Bishil
175,/wiki/Julie_Bishop_(actress)
176,/wiki/Danielle_Bisutti
177,/wiki/Karen_Black
178,/wiki/Sofia_Black-D%27Elia
179,/wiki/Joan_Blackman
180,/wiki/Betsy_Blair
181,/wiki/Linda_Blair
182,/wiki/Patricia_Blair
183,/wiki/Selma_Blair
184,/wiki/Amanda_Blake
185,/wiki/Susan_Blakely
186,/wiki/Ronee_Blakley
187,/wiki/Jolene_Blalock
188,/wiki/Rowan_Blanchard
189,/wiki/Tammy_Blanchard
190,/wiki/Alexis_Bledel
191,/wiki/Yasmine_Bleeth
192,/wiki/Joan_Blondell
193,/wiki/Nikki_Blonsky
194,/wiki/Moon_Bloodgood
195,/wiki/Verna_Bloom
196,/wiki/Emily_Blunt
197,/wiki/Ann_Blyth
198,/wiki/Eleanor_Boardman
199,/wiki/Mary_Boland
200,/wiki/Beulah_Bondi
201,/wiki/Lisa_Bonet
202,/wiki/Shirley_Booth
203,/wiki/Olive_Borden
204,/wiki/Alex_Borstein
205,/wiki/Michelle_Borth
206,/wiki/Samantha_Boscarino
207,/wiki/Rachel_Boston
208,/wiki/Kate_Bosworth
209,/wiki/Barbara_Bouchet
210,/wiki/Julie_Bovasso
211,/wiki/Clara_Bow
212,/wiki/Katrina_Bowden
213,/wiki/Andrea_Bowen
214,/wiki/Julie_Bowen
215,/wiki/Jessica_Bowman
216,/wiki/Jenna_Boyd
217,/wiki/Lara_Flynn_Boyle
218,/wiki/Lucy_Boynton
219,/wiki/Lorraine_Bracco
220,/wiki/Alice_Brady
221,/wiki/Alexandra_Breckenridge
222,/wiki/Tracey_E._Bregman
223,/wiki/Lucille_Bremer
224,/wiki/Eileen_Brennan
225,/wiki/Amy_Brenneman
226,/wiki/Abigail_Breslin
227,/wiki/Jordana_Brewster
228,/wiki/Paget_Brewster
229,/wiki/Chloe_Bridges
230,/wiki/Alison_Brie
231,/wiki/Connie_Britton
232,/wiki/Beth_Broderick
233,/wiki/Jayne_Brook
234,/wiki/Geraldine_Brooks_(actress)
235,/wiki/Louise_Brooks
236,/wiki/Blair_Brown
237,/wiki/Kimberly_J._Brown
238,/wiki/Yvette_Nicole_Brown
239,/wiki/Leslie_Browne
240,/wiki/Logan_Browning
241,/wiki/Sabrina_Bryan
242,/wiki/Joy_Bryant
243,/wiki/Tara_Buck
244,/wiki/Kira_Buckland
245,/wiki/Betty_Buckley
246,/wiki/Sandra_Bullock
247,/wiki/Cara_Buono
248,/wiki/Billie_Burke
249,/wiki/Delta_Burke
250,/wiki/Marylouise_Burke
251,/wiki/Carol_Burnett
252,/wiki/Brooke_Burns
253,/wiki/Catherine_Burns
254,/wiki/Heather_Burns
255,/wiki/Ellen_Burstyn
256,/wiki/Hilarie_Burton
257,/wiki/Kate_Burton_(actress)
258,/wiki/Sophia_Bush
259,/wiki/Brett_Butler_(actress)
260,/wiki/Yancy_Butler
261,/wiki/Spring_Byington
262,/wiki/Amanda_Bynes
263,/wiki/Marion_Byron
264,/wiki/Jeanne_Cagney
265,/wiki/Erin_Cahill
266,/wiki/L._Scott_Caldwell
267,/wiki/Alice_Calhoun
268,/wiki/Sarah_Wayne_Callies
269,/wiki/Vanessa_Bell_Calloway
270,/wiki/Candace_Cameron_Bure
271,/wiki/Anna_Camp
272,/wiki/Christa_Campbell
273,/wiki/Danielle_Campbell
274,/wiki/Maia_Campbell
275,/wiki/Tisha_Campbell-Martin
276,/wiki/Maria_Canals-Barrera
277,/wiki/Dyan_Cannon
278,/wiki/Lizzy_Caplan
279,/wiki/Jessica_Capshaw
280,/wiki/Kate_Capshaw
281,/wiki/Irene_Cara
282,/wiki/Gina_Carano
283,/wiki/Linda_Cardellini
284,/wiki/Mariah_Carey
285,/wiki/Lynn_Carlin
286,/wiki/Kitty_Carlisle
287,/wiki/Amy_Carlson
288,/wiki/Kelly_Carlson
289,/wiki/Jeanne_Carmen
290,/wiki/Julie_Carmen
291,/wiki/Sue_Carol
292,/wiki/Charisma_Carpenter
293,/wiki/Jennifer_Carpenter
294,/wiki/Sabrina_Carpenter
295,/wiki/Ever_Carradine
296,/wiki/Barbara_Carrera
297,/wiki/Tia_Carrere
298,/wiki/Diahann_Carroll
299,/wiki/Madeline_Carroll
300,/wiki/Nancy_Carroll
301,/wiki/Dixie_Carter
302,/wiki/Lynda_Carter
303,/wiki/Veronica_Cartwright
304,/wiki/Rosalind_Cash
305,/wiki/Peggy_Cass
306,/wiki/Joanna_Cassidy
307,/wiki/Katie_Cassidy
308,/wiki/Peggie_Castle
309,/wiki/Shanley_Caswell
310,/wiki/Phoebe_Cates
311,/wiki/Jessica_Cauffiel
312,/wiki/Emma_Caulfield
313,/wiki/Joan_Caulfield
314,/wiki/Kristin_Cavallari
315,/wiki/Lacey_Chabert
316,/wiki/Faune_Chambers
317,/wiki/Carol_Channing
318,/wiki/Stockard_Channing
319,/wiki/Cyd_Charisse
320,/wiki/Annette_Charles
321,/wiki/Daveigh_Chase
322,/wiki/Jessica_Chastain
323,/wiki/Ruth_Chatterton
324,/wiki/Kristin_Chenoweth
325,/wiki/Cher
326,/wiki/Vanessa_Lee_Chester
327,/wiki/Lois_Chiles
328,/wiki/Anna_Chlumsky
329,/wiki/Margaret_Cho
330,/wiki/Rosalind_Chao
331,/wiki/Erika_Christensen
332,/wiki/Claudia_Christian
333,/wiki/Jamie_Chung
334,/wiki/Marguerite_Churchill
335,/wiki/Ciara
336,/wiki/Candy_Clark
337,/wiki/Judy_Clark
338,/wiki/Melinda_Clarke
339,/wiki/Sarah_Clarke
340,/wiki/Patricia_Clarkson
341,/wiki/Jill_Clayburgh
342,/wiki/Colleen_Clinkenbeard
343,/wiki/Rosemary_Clooney
344,/wiki/Glenn_Close
345,/wiki/Imogene_Coca
346,/wiki/Lauren_Cohan
347,/wiki/Claudette_Colbert
348,/wiki/Taylor_Cole
349,/wiki/Tina_Cole
350,/wiki/Holliston_Coleman
351,/wiki/Monique_Coleman
352,/wiki/Kim_Coles
353,/wiki/Lily_Collins
354,/wiki/Lynn_Collins
355,/wiki/Holly_Marie_Combs
356,/wiki/Anjanette_Comer
